body_temperature,milk_production,respiratory_rate,walking_capacity,sleeping_duration,body_condition_score,heart_rate,eating_duration,lying_down_duration,ruminating,rumen_fill,health_status
39.5,16.8,17,5445,7.2,3,49,1.3,14.7,3.6,3,unhealthy
39.2,14.1,14,5368,7.2,3,48,1.4,14.5,4.7,3,unhealthy
39.1,13.7,14,5821,7.2,3,46,2.2,11.5,6.1,3,unhealthy
39.1,13.6,17,11020,7.2,3,57,1.3,14.6,6.4,3,healthy
39.2,12.9,16,6777,7.2,3,43,1.3,14.4,3.5,3,unhealthy
37.9,24.5,37,12706,3.6,2,80,2.4,12.4,5.5,4,healthy
39.1,13.8,24,12699,4.5,3,46,2,14.3,6.6,3,healthy
39.4,5.6,16,6584,7.2,1,43,1.6,14.9,4.1,1,unhealthy
39.4,16.9,14,6126,7,3,46,1.3,15.8,6.1,3,unhealthy
39.1,14.4,14,5276,7.2,1,47,1.3,14.6,4.7,3,unhealthy
39.6,14.8,22,6487,4.2,3,83,1.4,12.7,5.3,3,unhealthy
39.4,6.5,14,5805,7.2,2,47,1.3,14.4,5.2,3,unhealthy
37.8,22.2,27,13056,7.1,2,51,2.4,12.3,6.4,2,healthy
39.1,6.4,14,5807,7.2,3,48,1.3,14.3,4.4,2,unhealthy
39.2,14.4,14,12691,4.4,3,47,1.8,11.9,7,3,healthy
39.2,16,14,6008,6.7,2,42,1.7,13.4,4.9,5,unhealthy
37.9,15.1,26,13206,4.5,2,77,2.7,11.2,7,3,healthy
39.3,12.6,17,6737,4.2,3,75,1.9,13.9,5.1,2,unhealthy
39.1,13.8,14,6762,7.2,2,47,1.7,16.1,5.3,3,unhealthy
39,5.4,16,7432,4.9,2,52,1.6,12.8,6.1,2,unhealthy
37.9,25.1,28,13257,4.4,3,71,2.3,11.1,6.4,1,healthy
39.1,5.1,14,5626,6.9,4,37,1.8,13.5,3.4,3,unhealthy
39.3,8.6,27,5004,4.6,4,81,2.6,13.2,5.7,3,healthy
39.2,24.4,15,5004,3.2,2,47,1.9,14.6,6,3,unhealthy
39.2,11,14,10275,4.4,3,50,1.9,14.7,3,3,unhealthy
39.6,11.8,18,5934,7.2,4,40,1.3,14,4.8,1,unhealthy
38,11.5,25,11899,4.3,1,54,2.5,11.2,6.8,3,healthy
37.7,7.3,23,6245,7.2,2,48,3.6,11.9,4.5,4,unhealthy
37.9,10.2,27,6208,3.5,4,65,1.7,13.9,7,2,healthy
37.8,12.6,49,13257,4.1,4,78,3.7,13.4,6.9,4,healthy
39.2,5.8,14,5534,7.2,3,48,2,15,6.7,2,healthy
37.7,22.8,32,12840,4.6,3,72,2.6,11.1,7,5,healthy
38.1,23.3,26,13257,3.9,3,78,4.3,12.5,6.7,4,healthy
37.9,23.5,29,11683,4.8,3,83,2.7,12.4,7,3,healthy
39.1,12.9,17,6447,7.2,3,46,1.3,14.3,4.9,1,unhealthy
39.3,13.6,17,5575,6.8,3,39,2.3,15.1,5,3,unhealthy
38.8,8.5,14,6104,7.2,3,52,1.4,14.4,5.1,1,unhealthy
39.3,11.2,17,5887,7,3,43,1.4,14.3,5.6,3,unhealthy
39.1,5.1,14,5088,7.2,1,46,1.3,14.7,5.8,3,unhealthy
39.2,11.6,14,7031,7.1,3,42,2.1,16.4,5,1,healthy
37.8,13,35,12725,4.1,3,82,3.3,11.6,7,3,healthy
39.4,14,24,6853,6.8,3,43,1.3,15.2,3.9,3,unhealthy
37.9,12.2,14,5582,4.6,3,49,1.7,14.8,4.5,2,healthy
39.4,11.1,38,13257,4.2,1,83,2.2,12.2,7,3,healthy
37.8,12.8,32,12079,3.1,3,56,2.9,12.4,7,3,healthy
39.4,18.3,17,7241,6.9,3,37,1.4,15.7,4.6,2,unhealthy
38.2,7.3,22,13257,4.3,1,83,2.4,13,5,4,unhealthy
39.1,15.2,14,6206,7.1,3,42,1.6,16,5.1,2,unhealthy
39.2,7.6,15,7754,7.2,3,37,2.1,12.7,5.4,3,unhealthy
38.9,12.3,21,5042,7.2,3,53,1.3,14.8,5.2,3,unhealthy
38.2,20.2,33,13257,4.9,4,74,2.5,11.8,6.1,2,healthy
39.2,9.1,14,10871,7.2,1,50,2,15.5,5.4,3,healthy
39,11.1,14,6973,7.2,1,46,2.4,14.5,4.6,3,unhealthy
37.8,25.9,20,13257,4.7,3,74,2,11,5.9,3,healthy
37.8,15.2,18,11716,4.3,1,66,2.2,13.4,7,2,healthy
40,12.4,14,6172,7.2,3,42,1.3,15.1,3,2,unhealthy
38.2,14.4,23,12992,3.6,3,74,2.1,12.3,5,2,healthy
39.4,5.1,20,6519,7.2,3,47,1.3,13.9,3.8,3,unhealthy
39.7,15.8,27,12674,3.9,3,79,1.3,12.7,6.7,3,unhealthy
39.7,12.3,14,6151,7.2,3,45,1.3,14,5.3,3,unhealthy
37.8,9,14,5004,7.2,4,45,1.8,11.6,6.1,2,unhealthy
38,13.1,31,11795,3.6,3,63,1.9,11.5,5.7,2,healthy
39.4,6.9,14,6518,7.2,2,42,1.6,15.6,4,1,unhealthy
37.9,10.2,25,13257,7.2,3,78,3.2,14,6.5,3,healthy
39.4,10.7,26,6422,7.2,1,47,1.3,6,3,2,unhealthy
39.7,12.2,14,5236,7.1,4,47,2,15,5.1,3,unhealthy
37.8,12.6,18,12462,3.6,3,73,3,11,7,2,healthy
38.9,13.7,14,6812,7.2,3,46,1.6,13.1,4.7,3,unhealthy
38.9,11,14,6721,6.9,3,73,1.8,14.7,5.7,3,unhealthy
37.9,10.5,26,13255,2.8,4,55,3.9,13.6,7,3,unhealthy
39,6.5,14,5004,4.1,3,44,1.3,14.4,5.2,3,unhealthy
39,5.1,14,6813,5.9,3,48,1.3,14.6,5.3,3,unhealthy
39.5,13.5,26,6467,7.2,1,64,3.1,14.2,5.8,2,healthy
37.9,6.4,40,12156,3.7,4,83,1.4,12,6.8,3,healthy
37.8,20.5,30,12292,4.7,1,54,3.2,11,6.9,2,healthy
39.1,12.6,27,7360,6.2,3,40,1.8,15.2,4.6,3,unhealthy
39.2,11.7,29,8712,4.2,1,81,2.4,12.1,7,4,healthy
37.7,20.3,31,12363,4.6,3,61,3.1,11.7,7,1,healthy
37.7,22.4,24,11821,4.7,3,46,1.7,11.2,7,1,healthy
37.8,15.1,16,12780,6.9,3,68,3.9,15.2,6.2,3,healthy
37.1,14.7,27,12607,4.5,3,78,2.6,13.6,6.3,2,unhealthy
37.7,11.9,21,13257,4.5,2,83,2.4,12.4,6.6,5,healthy
39,13.3,33,6343,7.1,2,72,1.9,13.6,7,4,unhealthy
39.3,5.1,14,6284,7.2,3,41,1.3,14.1,5.1,1,unhealthy
38.2,23,28,7088,3.8,4,47,2.3,13.6,5.4,2,unhealthy
37.8,12.8,14,5932,4.2,2,45,1.6,11.8,3.7,2,unhealthy
37.8,11,14,5130,7.2,1,59,2.7,11.9,6.7,4,healthy
37.7,16.5,34,13157,3.4,3,68,3.2,12.7,7,3,healthy
39.2,5.1,14,7418,7.2,3,42,1.3,15.2,4.4,3,unhealthy
38,23.8,31,11542,4.6,2,79,2.4,12.4,6,3,healthy
39.5,14.2,14,12321,7.2,4,43,2.7,14.3,4,1,unhealthy
38,11.7,14,13200,3.6,3,47,2.9,11.9,6.3,4,unhealthy
38.8,8.9,14,5383,7.2,3,53,1.3,14.4,5.1,3,unhealthy
39.8,15.1,26,5299,7.1,3,39,1.3,13.2,5.5,3,unhealthy
37.9,17.2,20,12656,4,3,72,1.9,11.9,7,3,healthy
39.3,15.3,29,6812,4.5,2,52,2.3,11.4,3.7,3,unhealthy
39.5,15.1,24,5690,6.3,3,47,1.3,14.6,3.8,2,unhealthy
39.1,12.9,21,6669,6.8,3,37,2.6,14.7,3.4,2,unhealthy
39.6,25.8,31,11881,4.4,4,83,2.3,13.2,5.9,3,healthy
38.4,11.8,42,13257,4.4,3,78,2,12.6,6,2,healthy
38.9,15.5,14,6513,7.1,1,38,1.3,14.4,4.8,2,unhealthy
39.3,14.2,19,5004,7.2,1,44,1.5,14.1,5.1,3,unhealthy
39.3,11.9,17,13249,7.2,2,42,2.2,14.8,5.5,5,unhealthy
39.4,16.8,14,6972,6.9,3,43,2.2,14.6,4.9,2,unhealthy
37.7,26.5,34,13059,3.4,3,76,2.5,12.1,7,3,healthy
37.6,17.5,25,13016,4.2,1,83,2.9,11.6,7,5,healthy
39.4,16,19,6080,6.4,3,47,1.3,13.3,3.5,2,healthy
38.3,14.1,29,5979,7.2,3,48,1.4,15.4,4.1,1,unhealthy
39.9,9.4,14,5900,7.2,1,47,1.3,14.2,5,3,unhealthy
39,14.4,14,7155,6.5,3,40,1.3,14.7,4.6,3,unhealthy
38,26.3,25,11650,4.6,2,68,2.9,12.1,6.2,3,healthy
38.8,11.6,14,5272,6.8,1,37,1.3,14.2,5.2,2,unhealthy
39.5,8.3,18,5440,6.4,1,37,1.3,14,3,1,unhealthy
38,22.5,28,12125,4.4,3,83,1.7,12.3,7,4,healthy
38.1,14.6,20,12846,3.7,3,74,3.1,12.4,5.5,3,healthy
38,13.9,18,5158,4.2,1,42,1.9,14.2,6,3,healthy
37.9,5.6,24,12169,4.6,3,68,2.9,12.3,6.6,3,healthy
37.9,15.9,40,13257,4.6,2,83,1.3,11,4.9,3,healthy
39.4,20.8,24,6378,7.2,1,61,3.3,12.8,6.8,2,healthy
39.2,12.5,14,6086,7.2,4,48,1.3,14.7,4.3,3,unhealthy
39.3,15.2,21,5004,7.2,1,42,1.8,14.1,5.1,1,healthy
38,10.4,43,12473,3.6,2,72,2.6,11.8,7,1,healthy
37.7,15.6,24,12083,4,3,65,2,11.1,7,2,healthy
39.2,10.1,14,6365,7.2,3,37,1.3,14.6,4.3,3,unhealthy
39,13.4,20,10811,7.2,3,47,2.2,14.7,5.5,2,unhealthy
39.3,14,15,6081,7.2,4,40,3,14.7,3.8,3,unhealthy
39.3,12.4,25,13047,4.1,1,46,2.5,12.1,6.7,3,unhealthy
37.9,12.2,17,10595,4.1,1,49,2.6,15.4,6.7,3,unhealthy
37.7,10.4,17,12346,4.4,2,83,3.4,12.9,7,5,healthy
38.2,20.1,31,11321,4.8,3,80,2.8,12,7,2,healthy
39.3,5.1,14,5311,7.2,3,43,1.3,14.1,4.3,3,unhealthy
37.7,24,25,11308,4.8,3,80,3.1,13.7,7,3,healthy
39.3,13.9,29,9444,7.1,2,59,1.9,12.5,7,2,healthy
39.5,12.9,20,5612,7,1,39,2,15.5,5.3,4,healthy
37.7,24.8,34,11937,3.8,3,42,3.7,13.1,7,4,healthy
38,10.8,31,13257,4.7,4,58,2.6,11.3,6.5,4,healthy
39.5,11.8,14,5891,7.2,3,43,2.2,14.4,5.9,3,unhealthy
39.1,11.4,14,9325,7.2,4,54,3.2,15.9,5,2,healthy
39.4,6.2,14,5449,7.2,3,48,1.3,14.2,3.8,2,unhealthy
38.1,12.9,14,5177,3.9,3,44,1.3,14.6,5.6,3,healthy
38.9,7.3,14,5113,7.2,3,37,1.3,15.4,5.3,3,unhealthy
37.7,12.5,31,12068,3.9,4,59,3.2,12,7,3,unhealthy
37.6,18.8,36,13257,4.9,5,83,3.6,12,7,4,healthy
38.8,8.4,17,7011,6.7,2,37,1.3,13.2,3.2,3,unhealthy
38,13.2,27,11700,4.5,1,66,2.6,12,6.5,1,healthy
39.3,8.7,28,5347,7.2,2,47,1.6,13.8,4.5,3,unhealthy
39,13.4,20,7282,7.2,2,48,1.3,14.9,4.1,3,unhealthy
38.5,15,35,10539,4.5,4,64,2.5,11.9,6.7,2,healthy
38.2,11,16,5004,4.5,5,45,2.9,12.8,7,1,unhealthy
38.1,21.9,23,12101,4.5,2,70,2.9,12.1,6.3,3,healthy
39.5,6.8,14,11196,4.1,3,61,3.2,12.2,6.9,1,healthy
38.9,16.8,14,7627,6.7,3,41,1.7,14.2,4.4,1,unhealthy
38.1,15.8,34,12929,4.7,3,83,1.4,12.6,6.7,4,healthy
38.2,21,34,11956,4.5,3,67,2.4,12.5,7,2,healthy
39.1,13.1,14,6379,7.2,3,47,1.3,14.7,3.7,2,healthy
37.7,22.4,27,13257,3.8,3,82,2.1,11.7,6.7,3,healthy
39.5,13.1,14,5609,7.2,3,42,2.1,14.3,4.9,2,unhealthy
39.3,16.9,25,6763,7.2,1,49,3,13.4,3.5,2,unhealthy
39.3,12.2,31,10419,6.2,1,56,2.3,14.1,6.1,3,healthy
39.1,8.3,15,5004,7.2,3,45,1.9,14.4,5.8,1,unhealthy
38.2,14.2,16,5499,4.7,3,43,2.1,12.7,4.4,4,unhealthy
37.7,22.3,16,11876,4.7,3,83,3,12.4,7,4,healthy
38,11.7,33,12696,4,2,67,1.9,12.3,6.3,3,healthy
39.3,5.1,17,6677,7.2,1,51,1.7,14.9,4.1,3,unhealthy
37.8,24,19,13257,3.6,3,67,3.6,12.4,7,3,healthy
39.3,5.5,16,5630,6.6,2,40,2.6,14.7,3.8,3,unhealthy
38,16.1,20,13257,3.9,3,81,2.7,12.5,5.7,3,healthy
38,13.2,15,5576,4.2,3,42,3.5,12.5,6.5,2,unhealthy
39.2,11.2,16,5345,7.2,1,46,1.5,15.1,4.9,1,unhealthy
37.8,9,42,13257,3.8,3,74,2.2,6,6.1,3,healthy
39.9,13.6,24,5005,4,2,38,1.6,14.7,4.5,2,unhealthy
39.3,11,16,11336,4.3,2,46,1.3,11.5,6.8,5,healthy
37.9,24.1,27,10810,3.6,4,45,2.6,15.4,7,2,healthy
39,14.2,18,6306,6.5,3,37,2.3,13.7,3.6,2,unhealthy
39.2,14.4,20,5605,6.9,2,42,2,14.3,4.1,1,unhealthy
35.5,12,14,7970,6.9,3,45,3.2,6,4.9,1,healthy
38.1,24,40,13206,4.4,1,80,2.6,12.3,6.7,4,healthy
39.1,11.2,17,5187,7.2,2,48,1.3,15,5.2,2,unhealthy
38,18.6,14,11216,5.6,3,44,2.5,11.9,6.5,3,unhealthy
39.1,9.2,16,5004,7.2,2,40,1.6,13.5,5,1,unhealthy
39.2,15,14,6958,7.2,3,40,2.4,14.9,3.5,2,unhealthy
39.1,11.7,14,6530,7.2,1,44,1.3,14,4.3,3,unhealthy
37.7,11.3,30,11935,5.1,3,70,1.8,11.7,7,2,unhealthy
39.1,5.1,14,5699,7.2,3,43,1.5,13.6,5.7,2,unhealthy
38.2,26.5,31,12500,5,3,83,2.4,12,6.3,4,healthy
38.1,15.8,29,11448,4.1,3,83,2.2,11.6,6.9,4,healthy
37.9,9.3,26,6167,3.5,2,66,2.6,13,6.5,1,healthy
37.9,18.1,16,10804,3.4,1,79,2.6,13.2,6.3,5,unhealthy
39.3,19.6,14,5440,7.2,3,38,2.9,13.2,5.2,2,unhealthy
39.4,13.7,14,6630,7.1,3,37,2,12.4,5.6,3,unhealthy
37.8,18.9,37,13186,5.7,3,41,3,11.7,4.8,3,unhealthy
39,5.2,18,5203,6.9,1,45,1.3,13.4,3,2,unhealthy
39.4,12.3,14,12209,3.6,1,39,2.4,12,5.7,1,healthy
38.4,22.3,30,11433,3.7,1,67,2.1,12.1,7,3,healthy
37.6,21.4,27,12603,4.4,2,73,4.1,12.3,7,4,healthy
39.2,8.3,17,10900,7.1,2,53,1.6,14.6,3.2,3,unhealthy
38.2,5.1,14,12103,4.2,3,65,3.9,12.5,7,3,healthy
39.1,6,17,5744,6.9,3,47,2.2,13.9,5.5,1,unhealthy
39.6,15.1,20,6213,3.7,3,41,1.5,15.4,3.1,3,unhealthy
38.9,5.8,14,5004,7.2,3,39,1.3,13.5,5.2,3,unhealthy
38,10,33,10968,5,2,83,2.7,13.4,7,5,healthy
37.8,9.8,41,13257,4.8,4,58,2.3,11.3,6.4,3,healthy
38,23.6,21,12895,4.3,3,64,2.9,12.4,6.2,5,healthy
39.4,14.4,23,6970,7,1,41,1.3,14.3,4,2,unhealthy
39,11.9,15,6146,6.9,3,44,3.4,13.4,4.7,2,unhealthy
38,24.8,27,11529,4.5,4,60,2.6,12.1,6.9,4,healthy
39.4,9.8,28,10423,4.3,2,77,1.9,12.7,6.9,3,unhealthy
38.9,8.5,14,5981,7.2,1,37,1.3,15.4,5,3,unhealthy
37.7,14.5,39,12053,4.6,3,76,3.6,11.7,7,3,healthy
35.5,21.6,27,6946,3.8,2,74,3.6,13.4,7,2,healthy
39.8,16,16,12170,4.1,1,37,2.8,12.1,7,5,unhealthy
39.4,21.8,38,11744,4.2,3,41,1.5,12.5,6.9,3,healthy
39.2,12.3,14,5004,7.2,1,48,1.3,13.1,4.7,2,unhealthy
39.1,11.6,14,9828,3.9,3,42,2.3,14.6,6.6,2,unhealthy
39.4,15.9,14,5185,7.2,3,44,1.7,13.4,4.6,3,unhealthy
39.6,16.1,14,6247,6.7,3,46,1.3,13.8,3.1,2,healthy
39.7,10.3,14,5004,6.8,3,47,1.9,13.9,5.7,1,unhealthy
39.6,10,18,7213,4.7,1,59,2,12.2,5.8,1,healthy
38.3,15.9,31,5655,3.4,3,46,3.1,12.1,7,1,healthy
39.4,11.4,22,7500,6.8,2,50,1.3,14.9,5.3,3,healthy
39.2,13.6,15,5016,7.2,3,39,1.3,13.6,5.2,3,unhealthy
37.8,20.1,34,12741,4.4,3,74,2.9,11.3,7,4,healthy
37.7,19.6,23,13208,4.8,2,83,2.3,11.2,7,4,healthy
38.9,11.1,14,6814,7.2,1,53,1.3,16.4,5.6,3,unhealthy
39.3,11.9,14,5004,6.8,3,47,1.7,14.3,3.8,2,unhealthy
38.4,13.5,16,11575,4.3,2,70,2.1,12,7,3,healthy
37.7,25.5,30,13257,3.7,3,83,1.3,11.4,6.4,2,healthy
37.9,11.5,34,13257,4.3,3,74,3.2,12.2,7,3,healthy
39.4,7.5,14,7053,4.3,4,41,1.3,13.6,5,3,healthy
38.9,18.8,14,9856,6.7,4,60,2.3,14.7,3.1,2,healthy
38,12.1,35,12812,4,1,83,2.3,11.7,7,4,healthy
39.4,18,17,6770,7,2,37,1.9,15.5,3.3,3,unhealthy
38,11.4,20,11577,4.4,4,65,2.3,13,5.9,4,healthy
38.9,10.9,23,6344,7.2,2,49,1.7,15.9,4.6,3,unhealthy
39.3,13.6,24,5785,7,1,40,1.3,14,5.1,1,unhealthy
39.3,12.4,14,10053,7.1,1,43,1.5,14.3,5.6,2,unhealthy
39.2,26,17,6786,5.7,4,44,2.2,14.2,6.1,1,unhealthy
38,9.9,22,12919,4.5,2,68,2.2,11.9,7,3,healthy
37.8,16.9,28,12187,6.9,3,83,2.4,15.4,7,3,unhealthy
39,6.2,14,5132,7.2,1,43,1.3,14.6,5.7,1,unhealthy
39.4,7.5,25,5912,6.6,2,40,1.3,13.9,4.1,2,unhealthy
39.2,5.1,19,5727,7,3,50,1.3,13.4,5.1,2,unhealthy
38,16.6,24,13257,3.3,3,71,3.3,12.7,6.4,5,healthy
39.3,15.6,36,11264,4.4,1,63,1.8,12,5.9,1,healthy
39.7,13.7,14,5004,4.1,1,45,2.3,13.7,4.7,2,healthy
39.6,13,14,5271,6.4,2,55,2.5,12.5,7,1,healthy
37.8,24.3,21,10552,3.9,2,59,2.6,12.1,7,4,healthy
38.9,14.2,14,6180,7.2,1,72,2.7,14.9,3,3,healthy
37.9,11.8,26,12339,4.4,2,60,2.5,11.7,4.9,3,healthy
38.9,10.9,14,6569,7.2,1,49,1.3,15.2,4.7,3,unhealthy
37.9,13.9,30,12764,4.5,2,71,2.3,12.1,6.4,2,healthy
39.2,10.5,23,8321,7.2,3,49,2.2,15.8,6.7,2,healthy
39.2,5.1,15,6016,7.2,1,42,1.7,14.2,4.7,3,unhealthy
39.1,9.3,14,6881,7.2,2,37,1.3,14.7,5.6,1,unhealthy
39.1,13.8,14,6883,6.9,3,53,1.7,14.2,6.8,4,unhealthy
39.3,6.5,17,6528,6.8,3,50,1.3,14.5,3,2,unhealthy
38,12.8,35,11971,3.8,3,50,1.8,11.4,5.7,1,healthy
37.6,14.9,14,12576,4.5,2,78,2.7,11.6,7,4,healthy
38.3,15.6,33,13050,4.5,3,49,2.3,12.3,6.6,3,healthy
38.9,7.6,14,5352,7.2,2,46,1.4,14.6,4.7,1,unhealthy
39,9.7,14,5309,7.1,3,40,1.3,13.7,6,1,unhealthy
37.7,15.8,25,11963,4.4,1,83,3.7,12,7,3,healthy
39.3,14.2,14,6507,6,3,43,1.4,15.6,4.8,1,unhealthy
38.2,26.3,41,5132,2.8,1,45,2.6,13.8,6.8,1,unhealthy
37.9,23.6,26,12446,4.1,2,67,2.3,12.8,5.9,4,healthy
39.2,16.6,14,5004,7.1,2,38,2.3,15.2,4.4,2,unhealthy
38.9,15.8,21,6262,6.5,1,40,2,11.6,4.6,3,unhealthy
39.5,11.5,18,5427,7.1,1,42,1.3,14.5,4.6,2,healthy
39.4,5.5,18,6619,7.2,1,42,1.8,15.1,3.8,2,unhealthy
39.2,7.9,14,5433,6.7,1,46,1.3,15.3,4.6,1,unhealthy
38.3,13.3,18,10868,4.6,1,63,2.8,12.9,5.8,4,healthy
38.9,17.2,14,6434,6.5,2,39,1.5,14.2,3.9,3,unhealthy
39.2,14.8,32,5203,7.2,4,47,2.2,15.4,7,2,unhealthy
38.9,5.1,25,5004,7.2,2,45,1.7,14.4,5.8,3,unhealthy
37.9,13,18,12458,4.5,2,72,2.9,11.8,7,3,healthy
38,19.3,31,12319,4.5,4,67,3.2,13,6.3,4,healthy
38.1,11,14,6783,7.2,2,49,2.6,14.9,7,1,healthy
39.1,6,14,5352,7.2,1,43,1.3,14.8,5.1,3,unhealthy
39.3,8.5,14,5553,6.9,3,46,1.3,15.2,4.3,5,unhealthy
39.8,12.7,17,6032,7.2,3,40,1.3,14.2,3.4,3,unhealthy
38.1,24.6,37,13257,4.4,2,83,1.6,13.7,6.4,5,healthy
37.8,12.2,25,11744,4.7,4,83,2.3,12,5.6,2,unhealthy
37.8,26.1,14,11500,7.2,1,48,1.7,14.2,7,1,healthy
37.9,15.8,45,12380,3.7,3,53,2.6,11.4,5.4,2,healthy
37.8,15.9,21,13096,4.2,1,71,1.9,11.7,6.9,2,healthy
38.1,15.4,23,6697,3.2,3,46,2.9,8.3,7,3,unhealthy
39.1,19.3,39,11365,4.7,3,44,1.3,11.1,6.8,2,healthy
39.5,13.6,31,11186,4.7,1,53,1.3,12.7,7,3,healthy
37.8,22.3,41,12641,4.6,3,60,2.4,11.2,7,3,healthy
37.6,13.2,22,12418,4.4,3,53,3.1,11.5,5.7,3,unhealthy
39.6,16.2,21,5614,7.2,1,37,1.3,13.6,5.5,3,unhealthy
37.6,10.1,16,12283,5.1,2,78,2.5,13.1,5.7,4,healthy
39.8,15.5,14,5510,4.6,1,46,2.7,15.3,3.7,5,healthy
37.7,11.3,20,12445,4.2,4,83,2.8,11,6.6,3,healthy
35.5,9.8,33,6314,7.2,3,48,1.3,13.1,5.7,3,healthy
37.7,15.1,14,12178,4.2,3,74,1.6,11.2,6.9,1,healthy
37.8,10.3,34,12687,4.8,3,70,2.4,12.5,7,3,healthy
37.9,24.3,23,12484,4.6,5,83,2.4,13.1,7,4,healthy
38,17.6,27,12290,4.2,3,45,1.5,12.5,5.5,4,healthy
39.6,13.9,17,11921,7.1,3,49,1.4,12.2,3.4,1,unhealthy
39,15.5,14,5811,6.7,1,47,1.3,14.8,6.8,1,unhealthy
38.1,14.9,28,11761,4.8,1,79,1.7,11.3,6.2,4,healthy
38.1,13,35,11879,4.8,2,81,3.1,11.1,6.1,3,healthy
38.9,21.6,20,6430,7.2,4,50,1.8,12.2,7,3,unhealthy
38.2,23.5,44,12581,4.6,2,66,2.4,12.2,7,3,healthy
39.1,12.8,15,5004,7.2,3,44,1.6,14.4,4.5,3,unhealthy
37.7,25.6,31,12143,4.3,2,76,2.9,12.2,7,4,healthy
38.3,13,28,12763,4.3,2,70,3.1,11.5,6.8,2,healthy
38,24.5,28,11617,4.6,4,78,2.8,6,5.3,3,healthy
38.9,16.8,14,5501,3.8,3,45,3.1,15.7,7,2,unhealthy
38.4,10,25,11628,4,2,75,2.3,12.1,7,4,healthy
39,16,14,5004,6.9,3,39,1.5,13.1,7,3,healthy
38,14.3,30,12265,3.8,3,71,2.1,11.6,7,3,healthy
39.4,5.2,14,6142,7.2,1,46,1.3,14.6,5.2,3,unhealthy
38,26.5,35,11376,2.8,3,59,2.8,13.3,6.3,4,healthy
38.3,22.4,32,12225,3.9,2,82,2,13.6,6.1,4,healthy
39.2,5.1,14,5004,7.2,2,49,1.3,14.9,4.7,3,unhealthy
37.8,12.8,42,13257,3.5,2,46,3.7,11.8,7,3,healthy
39.3,6.7,14,5147,7.2,4,47,1.7,13.7,4.5,3,unhealthy
38.9,16.2,18,6389,6.6,1,47,1.3,14.5,4.4,1,unhealthy
39,7.6,21,5226,6.8,3,48,1.9,14.6,4.2,1,unhealthy
38.2,13.2,43,12062,4.4,2,67,2.4,11.7,4.9,2,healthy
37.9,21.4,20,12637,4.4,4,75,2.6,11.7,6.5,5,healthy
37.9,14.2,26,12040,4.2,2,83,1.9,11.8,6.3,2,unhealthy
38,5.1,17,8673,4,3,70,2,12.2,7,2,healthy
39.5,14.1,14,6563,7.2,4,38,3.2,15.1,5.5,4,unhealthy
37.9,16.2,29,13257,4.8,3,75,3.4,11.7,5.5,3,healthy
38.1,13.3,40,12353,4.1,1,66,3.3,11.7,7,4,healthy
39,6,14,5623,7,4,46,1.3,14.2,5.4,3,unhealthy
37.9,7.7,23,12087,3.4,1,63,3,11.4,5.6,3,healthy
39.4,13.4,19,11590,4.3,4,53,1.8,12.8,6.9,2,unhealthy
38,26.4,22,11639,4.4,4,81,3.3,11.5,7,3,healthy
38.9,15.8,14,5004,7.2,3,40,1.8,12.7,3.9,3,unhealthy
37.9,26.5,15,12458,4.6,2,78,2.6,12.8,6,4,healthy
39.4,12.9,14,5004,7,1,46,1.7,15.5,4.6,2,unhealthy
39.2,6.6,14,5870,7.2,4,39,1.7,14.3,4.4,1,unhealthy
37.8,15,32,12120,5.1,1,77,2.1,11.7,7,4,healthy
38.9,7.9,18,5401,6.8,2,44,1.8,14.9,5.3,3,unhealthy
38.1,10.5,26,11581,3.8,1,83,1.6,12.3,5.9,2,healthy
38.5,16.9,30,12377,4.4,3,71,3.4,12.4,5.1,4,healthy
39,13.1,14,6205,7.2,1,42,2.6,14.1,4.2,3,unhealthy
37.8,10,18,11374,4.9,2,54,2.9,11.9,6.7,4,healthy
39.1,7.8,14,5814,7.2,2,37,2.3,14.1,4.3,1,unhealthy
39.1,15.3,27,5696,4.9,3,53,2.5,12.2,6.7,3,healthy
37.7,15.1,47,13257,4.2,5,38,1.8,11.5,6,4,unhealthy
37.8,18.9,33,12713,5,3,83,2.8,11.1,7,3,healthy
39.4,5.1,14,5577,4,1,45,2.5,14.6,5.3,2,unhealthy
39.3,16.8,15,5968,6.4,5,37,1.7,13.4,3,3,unhealthy
39,14.1,16,6959,6.7,3,48,1.5,14.6,4.3,1,unhealthy
38.3,18.1,38,12542,5.1,1,78,2.8,11.6,6.3,4,healthy
38,12.2,26,12407,3.5,3,74,3.2,11.3,6.6,3,healthy
39.4,8.8,14,5004,7.2,2,40,1.3,14.6,5.5,2,unhealthy
39.2,16.6,14,5708,7.1,3,45,1.3,16.2,4.2,3,unhealthy
38.5,24.9,46,12665,3.3,3,82,3.2,11.3,6.5,4,healthy
37.8,11.8,15,12696,4.7,4,83,3.5,12.5,5.7,4,unhealthy
37.8,14.5,31,11675,4.3,3,37,1.8,11.4,7,4,healthy
39,5.1,25,5440,6.9,4,43,1.4,14.8,4,3,unhealthy
38.1,21.3,37,12340,4.9,1,76,2.8,12.5,7,4,healthy
39.6,11.1,14,6199,7.2,2,37,1.3,14.2,3.7,2,unhealthy
39,7.7,14,6757,6.9,1,47,2.2,15.2,4.3,1,unhealthy
39.8,14.6,14,5004,7.2,3,42,1.3,16.1,5,3,unhealthy
